,Date,User,Tweet
0,2022-11-05 06:12:28+00:00,estherperezzz_,#hatemen
1,2022-10-31 22:53:08+00:00,PR0BEDR0ID,"@Scotswoman06 @SuzanaD3 @jerrytmartin Name just 1 alpha male! There are none so everyone reply with beta cucks! 

#GoHATE #HateMen #AMAB #ShowYourPerfectHate #StrengthFromHateOfMen #StrongerHatingWeakMenTogether
#ToHateMenIsToLoveActualHumanBeings #DehumanizeMen #MakeWeakMenSuffer #WomenWillControlMen
#instagramdown https://t.co/xx9PoHFy7n"
2,2022-10-31 11:03:21+00:00,p4u_rr,#hatemen
3,2022-10-29 02:05:26+00:00,svxho_,@markycngs #hatemen
4,2022-10-24 18:29:36+00:00,jessllol,SHOVE THAT GOODLUCK UP UR ASS #hatemen #hopeallmend1e
5,2022-10-19 12:11:05+00:00,JamalojahaIlo,@playg111rlcarti oh man voll unfair #hatemen
6,2022-10-19 09:39:58+00:00,iizyanisa,@njwamaisarah for real rasa glowing anyways #hatemen
7,2022-10-07 21:54:56+00:00,shishitzigk,#hatemen https://t.co/rgd7IHwy0u
8,2022-10-07 10:48:15+00:00,bizzlenthuziast,@landsrauhl #hatemen agenda going strong i stand with u https://t.co/n3goPNBAP3
9,2022-10-06 23:06:29+00:00,cluvrgirl,"Every time a guy asks on their story if they should shave their head, I vote yes 😈 #hatemen #stayugly"
10,2022-10-06 12:28:39+00:00,CarolynStvns,"Day out with the ladies!! Lots of love to the girls who got me through my failed marriage, couldnt have done it without them. 
#girlpower #girlies #powerfulwomen #hatemen"
11,2022-09-29 03:44:38+00:00,AnnFaramus,I will never trust or believe what a guy says to me anymore! Try sweet talk me you be told to piss off!! #hatemen
12,2022-09-26 20:54:46+00:00,moneybaggemm,this man is literally the most sassiest mf I’ve ever met #hatemen
13,2022-09-20 23:42:07+00:00,__alyssaluv,My bf loses all his money to gambling and it’s okay … but lord forgive if I go on a shopping spree with his card 🙄 #hatemen
14,2022-09-20 16:16:55+00:00,Kashxashley,#hatemen
15,2022-09-20 03:00:39+00:00,cutedeatth,"ODIO TANTO A LOS HOMBRES 
#HATEMEN"
16,2022-09-18 14:17:09+00:00,mariioos,"Qué agustito estaría ahora abrazada a un hombre con brazos peludos, que me haga un masaje para quitarme el dolor de espalda de estudiar.

#BeaLaRamera #Quotes #HateMen #NotReallyHate"
17,2022-09-17 07:26:06+00:00,fru1tloopss,Guys are douchebags and I hate them all🧍🏻‍♂️🚫They don't know how to treat women 💁🏻‍♀️ and I feel like this is why the lesbian  👩🏻‍❤️‍💋‍👩🏻 rate is going up⬆️ in this country 🇺🇸 #snooki #hatemen #roblox
18,2022-09-12 06:50:23+00:00,DryHumorBabe,"@azcatgirl @DubauskasJan @KariLake @katiehobbs @AZChamber Kari epitomizes a #Strong #Leader #Forthright #Honest is #UnAfraid &amp; #StandByHerWords &amp; #Plans #UniteNotDivide #EndElitesCrimes
Brace yourself, little woke snowflake, #KariDoesntPlay #TheVictim #IdentityPolitics #HateMen #RaceCard (uh duh…leftist failed strategy)
#TrumpLake2024"
19,2022-09-07 19:15:29+00:00,chaengtetass,TODOS SON IGUALES #hatemen
20,2022-09-06 10:59:48+00:00,CQDThisIsGayBoi,"@GBOmega2 But it's not toxic, trust me. I hate the whole #hatemen movement but what I see here is just biology, I am not expecting the answers because I think these women are toxic, I except the answers because I know that this is the law of nature. Not just in humans but other animals"
21,2022-09-05 22:15:29+00:00,naimathecreator,#hatemen
22,2022-09-02 21:10:28+00:00,akayisas,@whiskypeleon #hatemen❤️
23,2022-08-30 23:40:51+00:00,sstoneyy_,#hatemen
24,2022-08-22 04:40:16+00:00,flidmaster1,@sley_will18 @hollywoodaniel_ bru i #hatemen 🙄🥱🥱🥱
25,2022-08-22 01:33:54+00:00,canifuxk_urdad,Gonna laugh cuz #hatemen
26,2022-08-19 21:49:49+00:00,EMILLYG08057070,"LOS HOMBRES DEBERIAN TENER PROHIBIDO ESCUCHAR A MITSKI!!!
#BI #mitski #Colombia #HATEMEN https://t.co/nl71AqdsVj"
27,2022-08-17 21:58:16+00:00,pradalordsoultk,#hatemen
28,2022-08-15 08:23:36+00:00,ilovebriella,#hatemen
29,2022-08-15 03:13:55+00:00,2sexyashley,Going to be single/ alone forever I just know it… #hatemen
30,2022-08-10 13:21:23+00:00,Winston49640075,@AlboMP @petajan @MicheleONeilAU @Tony_Burke @jennymcallister G-d help us all. #HateMen
31,2022-08-07 04:29:06+00:00,aalaydior,#HATEMEN
32,2022-08-04 16:11:40+00:00,kksroyl,@avqvk #hatemen
33,2022-07-27 23:32:13+00:00,thezxmbae,report this guy. weirdo in my valorant dms!! #hatemen #allmenarethesame #didhesaygaycum @_swordfsh https://t.co/OPc1TLSxBq
34,2022-07-27 02:52:27+00:00,maferbtre,me hubiera quedado con la perra duda de qn seguia a andrew tate #hatemen
35,2022-07-25 06:40:41+00:00,sugaaa45,THE FUCKING AUDACITY OF THIS BOYYYYYYY!!!!! #hatemen #kinnporscheworldtour2022
36,2022-07-16 11:23:15+00:00,rekiyuzu,@VEZYZZSLIME if i say i forgot ur a man it just@means i’m comfortable around u 🥺 bc i #HATEMEN
37,2022-07-15 04:53:03+00:00,riotoranges,"Why the fuck would you match with someone, ask for their Snapchat and keep leaving them on read?????? #hatemen"
38,2022-07-13 14:19:37+00:00,theannadestiny,This Nigga Have The Audacity To Ask Me To Do A 3Sum This Nigga Ain’t Serious #Hatemen
39,2022-07-11 22:39:30+00:00,fridayyy15,#hatemen
40,2022-07-11 13:33:43+00:00,_EliChanel,no shade i think i did but he playing ughhhhh…. #hatemen https://t.co/o4ZFkZIXOU
41,2022-07-10 08:44:34+00:00,shewholaugh,I got 99 problems and a man is every single one of them #hatemen
42,2022-07-09 16:28:48+00:00,JDs_Best_Life,"@Alltogether111 @Louise75997969 Doubt it cos clearly all 3 of them #HateMEN! 🤨

#JohnnyDepp #JohnnyDeppWon #JohnnyDeppGotJustice #AmberHeardlsAnAbuser #AmberHeardlsALiar #FuAH"
43,2022-07-09 00:57:36+00:00,ebabcock04,love how grown men want to control the bodies of women and we’re in the wrong… but they have to use 5 in 1 shampoo because It’S tOo CoMpLiCaTeD #RoeVsWade #hatemen
44,2022-07-08 16:09:19+00:00,Diana_TWFanmily,@princessem777 After experience with men i want vomit when i see someone new trying get to know me better OF COURSE THEY MEAN MET MY PUSSY....🤢 #Fuckmen #hatemen
45,2022-07-05 15:22:09+00:00,marvmorg,What don’t people get about buying content? Is a yes or a fucking no.. not 10000 verification pics and previews #hatemen #fuckpaypigs #sellingcontent
46,2022-06-29 17:33:43+00:00,odiswifey,@autumnwantscat @winterwantscat yes #hatemen
47,2022-06-28 05:11:10+00:00,saarhairadha,@okiedokilokii #hatemen
48,2022-06-26 03:16:09+00:00,__okayyLucyy,Men always fuck it up for themselves. Like I was honestly thinking about giving you some pussy until you kept fucking talking 😒😒#yuck #hatemen #stfu
49,2022-06-24 23:01:18+00:00,Nivek45817840,#hatemen https://t.co/WXZdY6ErwS
50,2022-06-23 04:25:27+00:00,saLussy,#hatemen #nomen 🫡🫡
51,2022-06-19 09:45:10+00:00,seeabeach,@NoForcedBirth Shannon Bream and Robert Jeffress are forced birthers that can look you in the eye and fuck you up the ass #antichoice #hate #wicked #godless #savages #controllers #specialpleading #prochoice #prolife #abortion #mentallyill #carnal #hatewomen #hatemen #reprehensible #indefensible
52,2022-06-19 08:08:14+00:00,kqte_e,"@pxtriciiia I'm playing along, YES THAT'S WHY I HATE MEN #hatemen (bet bts un stray kids ir different)"
53,2022-06-17 13:18:34+00:00,himbo__lover,at college yesterday i wore a dress with a proper bra and got stared at so much i #hatemen
54,2022-06-15 05:56:25+00:00,kevxjn,"Vogliamo parlare dei 60enni che ci provano e fanno commenti osé sotto i tweet di @r_marilena? Imbarazzanti.

#hatemen"
55,2022-06-14 21:21:59+00:00,killa_k09,Today is definitely a fuck men's day. #hatemen
56,2022-06-11 15:27:45+00:00,k35h2908,nah then how can mz man b sucking some girls double ds in his bmw when hes tryna take her out to hakkasan the next day😪😪😪😪 #hatemen
57,2022-05-30 10:20:53+00:00,7scarley,I was crying over a boy last night🤮🤮 CAN YOU BELIEVE TJAY A BOYYY??!!🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤣🤣🤣🤣men are #gross #hatemen 🤮🤮🤮🤮🤮🤮🤮🤮🤮
58,2022-05-30 02:00:47+00:00,cardiganrrygf,@phharry__ THEY ARE #HATEMEN
59,2022-05-29 04:49:01+00:00,abby7062,#hatemen #crying
60,2022-05-26 03:35:08+00:00,sswamperss,"@callaloser #hatemen, ofc I got you queen 🙄!!! 
Don't let silly men get u stressin, they ain't worth it frfr!!"
61,2022-05-17 17:35:52+00:00,Matthew58006425,"@carrieb81589543 @ghoulgaze Eyo dont say that to people, they are shut off from reality to promote their #Hatemen movement."
62,2022-05-16 13:18:00+00:00,Alejandra_nok,#hatemen
63,2022-05-14 07:11:33+00:00,srirachavans,not simon openly flirting with ken when im right here? what the fuck men are all trash #hatemen
64,2022-05-11 23:59:58+00:00,BlackRoots_,Soon 85% of straight black men will be republican or independent… #woke #MeToo #BLM #hatemen
