,Date,User,Tweet
0,2022-11-09 03:44:34+00:00,psears,good fucking job #texas y’all really #hatewomen and freedom and freezing come winter
1,2022-11-04 17:29:50+00:00,ArrestHimNow,@Jim_Jordan The right…#HateWomen #HateSeniors #HateEveryoneWhoArentRich #HateEveryoneWhoCanThinkForThemselves #HateYouForVotingBlue
2,2022-11-02 02:30:07+00:00,realBillMcKny,"@piyushmittal @GOPLeader @LeaderMcConnell Has anyone noticed: @DemocratMen/@democratwomen still remain quiet and stand by while the @SpeakerOfTheHouse continues to take CRAP from anyone/everyone??
Why do this country #HATEWOMEN? #WomenHateWomen.
On #BOTHSIDES!"
3,2022-10-29 21:43:34+00:00,Sleepy89456953,"@TacomaPD #hatewomen
obviously support crimes against WOMEN https://t.co/Sz6VP5TPNL"
4,2022-10-25 07:22:13+00:00,WeWomen007,@Belstaffie @MrAndyNgo @JoDrant It truly does. Male violence by men who #hatewomen
5,2022-10-24 02:17:31+00:00,ChE_Engineer_TA,@RNCResearch It’s obvious that democrats #hatewomen
6,2022-10-19 15:54:11+00:00,vbbzs2003,@justdielithomie Erst tust du so und dann das ach man alle Frauen sind gleich darum sag ich #hatewomen 👊🏿
7,2022-10-09 17:04:30+00:00,permatired1,"what did we learn from this? don't talk to women cuz there's a chance they might be men, easiest way around it is just talk to men then it's guarenteed a man #hatewomen"
8,2022-10-09 04:53:35+00:00,pencefl69868052,#Cult much? #Groomers #hatewomen https://t.co/aY01z9Uf0Y
9,2022-09-30 22:29:09+00:00,HyperRegan,#HateWomen
10,2022-09-27 16:12:26+00:00,KittPontiac,"Yep. That must be the only reason.

#ItalianElections #HateWomen #Moron https://t.co/V55Kbl5kLv"
11,2022-09-24 03:08:45+00:00,ChocoPudding,@Jim_Jordan Abortion. #ForcedBirth #HateWomen
12,2022-09-24 03:08:12+00:00,ChocoPudding,@SenRickScott Abortion. #ForcedBirth #HateWomen
13,2022-09-24 03:06:54+00:00,ChocoPudding,@SenTedCruz Abortion. #ForcedBirth #HateWomen #Cancun
14,2022-09-24 03:06:25+00:00,ChocoPudding,@MonicaCrowley Abortion. #ForcedBirth #HateWomen Vote accordingly.
15,2022-09-24 03:05:38+00:00,ChocoPudding,@GregAbbott_TX Abortion. #ForcedBirth #HateWomen
16,2022-09-24 03:05:08+00:00,ChocoPudding,@SenRickScott Abortion. #ForcedBirth #HateWomen
17,2022-09-24 03:04:46+00:00,ChocoPudding,"@SenTedCruz And you're a fellah who knows petty! Hey, read us some more Dr. Seuss, joker clown! Also: Forced Birth and Cancun. #ForcedBirth #HateWomen #Cancun"
18,2022-09-24 03:03:40+00:00,ChocoPudding,"@TomCottonAR Forced birth. If you disagree, vote all Republicans out. #ForcedBirth #HateWomen"
19,2022-09-22 04:47:04+00:00,ChocoPudding,@DrOz Abortion. Being a loser. Being a clown. Being an abortion? You. #ForcedBirth #HateWomen #Evil
20,2022-09-22 04:45:48+00:00,ChocoPudding,@GOPChairwoman Also: #ForcedBirth #HateWomen #Evil
21,2022-09-22 04:42:10+00:00,ChocoPudding,@laurenboebert Abortion. #ForcedBirth #HateWomen #Evil
22,2022-09-22 04:37:57+00:00,ChocoPudding,@HouseGOP Abortion. #ForcedBirth #HateWomen #Racist #Evil
23,2022-09-22 04:36:58+00:00,ChocoPudding,@SenRickScott Abortion. #ForcedBirth #HateWomen #Evil
24,2022-09-22 04:21:22+00:00,ChocoPudding,@SenTedCruz Millions of women have watched you strip them of their rights as human beings. #ForcedBirth #HateWomen #Cancun
25,2022-09-22 04:20:26+00:00,ChocoPudding,@SenTedCruz Abortion. (You are such an abortion.) #ForcedBirth #HateWomen #Cancun
26,2022-09-21 19:03:15+00:00,ChocoPudding,@JudiciaryGOP Abortion. #ForcedBirth #HateWomen
27,2022-09-21 19:02:54+00:00,ChocoPudding,@SenTedCruz @DailyCaller Abortion. #ForcedBirth #HateWomen #Cancun
28,2022-09-21 19:02:33+00:00,ChocoPudding,"@SenTedCruz Bahahahahahahaha. Okay, Cancun Cowboy. Also: Abortion. #ForcedBirth #HateWomen #Cancun"
29,2022-09-21 17:12:48+00:00,ChocoPudding,@LeaderMcConnell #ForcedBirth #HateWomen
30,2022-09-21 17:12:27+00:00,ChocoPudding,@SenTedCruz #ForcedBirth #HateWomen #Cancun
31,2022-09-19 23:09:06+00:00,ChocoPudding,@MarshaBlackburn Abortion. #ForcedBirth #HateWomen
32,2022-09-19 23:08:23+00:00,ChocoPudding,@GovRonDeSantis Abortion. #ForcedBirth #HateWomen
33,2022-09-19 23:08:02+00:00,ChocoPudding,@SenJohnKennedy Abortion. #ForcedBirth #HateWomen
34,2022-09-19 23:07:30+00:00,ChocoPudding,@laurenboebert Abortion. #ForcedBirth #HateWomen
35,2022-09-19 23:07:12+00:00,ChocoPudding,@tedcruz Abortion. #ForcedBirth #HateWomen
36,2022-09-19 23:06:48+00:00,ChocoPudding,@RepStefanik Abortion. #ForcedBirth #HateWomen
37,2022-09-19 23:06:23+00:00,ChocoPudding,@RonnyJacksonTX Abortion. #ForcedBirth #HateWomen
38,2022-09-19 23:06:01+00:00,ChocoPudding,@tedcruz Abortion. #ForcedBirth #HateWomen
39,2022-09-19 23:05:29+00:00,ChocoPudding,@GovRonDeSantis Abortion. #ForcedBirth #HateWomen
40,2022-09-19 23:04:41+00:00,ChocoPudding,@JudiciaryGOP Abortion. #ForcedBirth #HateWomen
41,2022-09-19 23:04:05+00:00,ChocoPudding,@mikepompeo Abortion. #ForcedBirth #HateWomen
42,2022-09-19 23:03:42+00:00,ChocoPudding,@SenRickScott #ForcedBirth #HateWomen Abortion.
43,2022-09-18 17:51:27+00:00,TrueAgainst,"@GOP Like WHAT?
#HateImmigrants? #HateWomen? #HateThePoor? #HateTheConstitution? #NaziFascism?"
44,2022-09-16 06:02:25+00:00,ChocoPudding,"@SenatorHagerty You get a boner sitting around thinking about rolling across women's right to healthcare, don't you? #ForcedBirth #HateWomen"
45,2022-09-16 05:59:05+00:00,ChocoPudding,@TomCottonAR You should recognize the cost of taking a big old dump all over women. #ForcedBirth #HateWomen
46,2022-09-15 20:08:02+00:00,ChocoPudding,"@SenTedCruz RELEASE: Sen. Cruz calls to outlaw abortion with no exceptions. Says ""If women die, good! I am the King of Women!"" #ForcedBirth #HateWomen #Cancun"
47,2022-09-15 20:06:36+00:00,ChocoPudding,@BillOReilly @NoSpinNews #ForcedBirth #HateWomen
48,2022-09-15 20:04:39+00:00,ChocoPudding,@SenTedCruz And tomorrow you will call to outlaw all abortions with no exceptions. #ForcedBirth #HateWomen #Cancun
49,2022-09-14 16:48:29+00:00,ChocoPudding,@SenTedCruz Did you ask them to ban all abortions without exception? Because we all know you have a boner for that. #ForcedBirth #HateWomen #Cancun
50,2022-09-14 16:47:25+00:00,ChocoPudding,@RonJohnsonWI And banning all abortions without exception or not doing that. #ForcedBirth #HateWomen #PackYourBags
51,2022-09-14 16:46:29+00:00,ChocoPudding,@SenTedCruz #ForcedBirth #HateWomen #Cancun
52,2022-09-14 16:45:59+00:00,ChocoPudding,"@SenTedCruz And Republicans want to ban all abortions without exception, Mister Roly Poly. Don't forget that! #ForcedBirth #HateWomen #Cancun"
53,2022-09-14 16:44:59+00:00,ChocoPudding,@LindseyGrahamSC You should totally double down and introduce legislation that all women who die should have their bodies stacked at the border as a warning and as a stimulus to the economy. That's just Republican policy. #HateWomen #ForcedBirth
54,2022-09-14 15:33:18+00:00,ChocoPudding,@LindseyGrahamSC #ForcedBirth #HateWomen
55,2022-09-14 15:32:49+00:00,ChocoPudding,"@SenTedCruz @SenRickScott @SenMikeLee ""Republicans need to stand united on a national abortion ban with no exceptions. I hate women, but I looooove Cancun!"" --Ted Cruz #ForcedBirth #HateWomen #Cancun"
56,2022-09-14 15:31:57+00:00,ChocoPudding,@SenTedCruz @cbs11jack Cruz to back national abortion ban with no exceptions. #ForcedBirth #HateWomen #Cancun
57,2022-09-14 15:30:46+00:00,ChocoPudding,@LindseyGrahamSC National abortion ban with no exceptions would be a Republican dream come true. #ForcedBirth #HateWomen
58,2022-09-14 15:30:12+00:00,ChocoPudding,@LeaderMcConnell National abortion ban with no exceptions would be a Republican dream come true. #ForcedBirth #HateWomen
59,2022-09-13 15:11:32+00:00,32pjgPdO9OGaxXO,@AmoneyResists @Boobalander1970 @LindseyGrahamSC The .@GOP #HateWomen #WantTotalControlOverYOU
60,2022-09-09 13:25:35+00:00,abbsurd,i kind of #hatewomen (^_^)v
61,2022-09-07 12:07:06+00:00,Guus0910,"@ciscoo29 Nao ha mulheres certas, agarra a que te fode menos a cabeça #hatewomen"
62,2022-09-01 22:52:39+00:00,BesarionBourke,"Women actually need to shut the fuck up and get back to the dishes already, who gave them rights anyway??
#hatewomen"
63,2022-08-22 03:00:41+00:00,BesarionBourke,"Love it when women say their independent but only got to the position their in because of a man
#men #SIGMA #BASED #hatewomen"
64,2022-08-19 02:35:41+00:00,RickyMourke69,"Jesus he’s slurring so fucking hard while attacking Tara. But yeah guys this is cool, this is absolutely acceptable behaviour. All of the hosts are complicit #peridrama #hatewomen"
65,2022-08-14 17:34:06+00:00,bloccoa,creeper chaos thumbnail made by me and @Hoicsant  in like Like 3 hours Its swag i like this on1 #cripezrr #Dicks #ROBLOX #MuhLifeVideoGayme #TwitterHatesWomen #HateWomen #robloxart #RobloxDev  #squirt #RobloxUGC  #HateLife #FuckN https://t.co/2CTPiT5qRZ
66,2022-08-12 20:31:05+00:00,SimiloTheMandem,My goat #AndrewTate bringing back masculinity!❤️ #HateWomen #misogyny https://t.co/L5TnvErbXz
67,2022-08-04 16:56:03+00:00,SiccVendetta,"this is why i #hatewomen 
#suitakeover"
68,2022-07-29 11:52:17+00:00,MrsPennyWise82,"@Castafi0re @ripx4nutmeg In recent cases, the police have been the perpetrators a La Wayne Couzens. And then police colleagues had the audacity to joke about it. No wonder they ignore it. It’s clear they #hatewomen"
69,2022-07-27 22:48:15+00:00,DpIp_CalifMom,#DoesMattGaetz. #HateWomen. #BecauseHeHasAn. #ItsyBitsy….  #OrHeJustAJerk? https://t.co/jIdoJirnLY
70,2022-07-25 20:17:17+00:00,hvrshana,@freaky12455300 #HateWomen
71,2022-07-15 10:44:32+00:00,freakybass,"#gop
#republicants 
#hatewomen
#hateswomen
#womenhaters
#womanhating
#power
#control
#prochoice 
#roevswade https://t.co/6soUzNkDA2"
72,2022-07-12 05:34:57+00:00,Threelittleeeee,"@dannyblanton @RepRaskin Ok she was one of the heads who find #osamabinladen and the rest is history! 9/11 how many #American died? and you want to arrested @HillaryClinton? What #trump do for this country, NOTHING JUST CHAOS AND SPREAD #HATEWOMEN AND #Fascism AND #WHITEPOWER BULLSHIT"
