,Date,User,Tweet
0,2022-11-10 11:24:15+00:00,SarahMenart,"@JLGaudart @artoflovve @MLagrandemotte @ParisienFierFR T’auras rien espèse de vieux 👴🏻 PERVERS NARCISSIQUE 😩🗑
Aucune #QUEEN ne voudra d’un vieux PORC 🐷 comme toi 🤮🤮
Vieux CROUTON va !!! 
#MenAreTrash 🌈"
1,2022-11-10 02:34:57+00:00,_dirty_pretty_,#guesswhosback #backagain #ByeFelicia #NoThanks #smallbusinessowner #singlelife #dating #relationship #overit #menaretrash https://t.co/U9xjveAo9w
2,2022-11-09 23:02:45+00:00,xahalya,"@PhraseJeunes Ce qui m'étonne c'est qu'une des personnes qui a RT ça met le #menaretrash a tous ses tweets, full emojis bien cringe en hurlant des propos incohérent"
3,2022-11-09 21:39:00+00:00,YoltekD,"@Neptooor_ @Mobala_ Jsuis d'accord avec toi pour une fois #menaretrash
#BlackPanther 
#myso"
4,2022-11-09 21:00:03+00:00,SAnationalist,"@MsibiNzuzo when we say #menaretrash even decent South African men own up &amp; don't say ""not me"" because it's on them to root out the rotten ones among them... but because nina nidla iagusi you fight so the same principle doesn't apply to them? Yimani kancane Nzuzo vulani amakhanda maan aw"
5,2022-11-09 18:31:06+00:00,jtakichi1,@cafujr_ @TruwantAlyssa @bltt67 continuez à nous montrer votre vrai visage messiers #menaretrash  👌
6,2022-11-09 17:32:14+00:00,PutSAfirst001,"There are some feminists somewhere wishing to throw the #menaretrash tantrum concerning the issue of Zanele Sifuba but it pains them knowing they're gonna be reminded that Gigaba, the late Kebby, Zondo and Kaybee were exposed by women"
7,2022-11-09 17:03:36+00:00,JKlivez,Read the replies &amp; quotes- You'll know how &amp; From why the #menaretrash statement comes from.. https://t.co/l8xjm8MQXn
8,2022-11-09 16:37:46+00:00,__aamhar,bartise better not let me catch him lackin… you had a good woman by your side ! Nancy’s brothers reaction was completely justified !! #LoveIsBlind #Nancy #Bartise #menaretrash
9,2022-11-09 16:21:42+00:00,thabomaphhosa,"@Tammmmy_27 Killing her is not worth it....
#menaretrash"
10,2022-11-09 15:57:18+00:00,RoiDelice,Ça change pas trop en 2022 #menaretrash https://t.co/cSf7rmYwdh
11,2022-11-09 15:51:30+00:00,martinssempa,Me Chopping the #menaretrash tree while keeping the main one of #realmen work hard and love their wife and children. There is true love. There are true men. #MenareNottrash https://t.co/bqCkqb6VTt
12,2022-11-09 14:36:16+00:00,trevor7044,"tupperware and some went as far as saying Matthew has a bad taste in women which is disgraceful to say.
My question is where are the feminists to stand with Sonia and support her in this difficult time for her. Where is the #MENARETRASH gang, some radio stations had the topic """
13,2022-11-09 12:58:29+00:00,djkevking,#MenAreTrash https://t.co/8TqC3Rm5gQ
14,2022-11-09 11:48:19+00:00,UnathiMajova97,@Newzroom405 #menAreTrash where is that brigade? @Mrallinone_SA
15,2022-11-09 08:39:24+00:00,SarahMenart,"@D4vizuu @_neptendus Il va tout simplement te ✨TROMPER✨ comme le font tous les 🖕🏻hommes🖕🏻.
Sois forte ma 👑QUEEN👑
#MenAreTrash"
16,2022-11-09 08:27:50+00:00,SarahMenart,"@BranleurJ @courbet_julien 🤣🤣🤣Tu penses serieusement qu’avec une 🤢TÊTE🤢 comme la tienne qu’une 👑#QUEEN 💫 voudra de toi ? Laisse moi GERBER 🤮
Petit con !!!!!! 🖕🏻🖕🏻🖕🏻
#menAreTrash"
17,2022-11-09 08:02:27+00:00,Bongani_O_Moyo,@_Mashudu_M #MenAreTrash
18,2022-11-09 08:02:08+00:00,Bongani_O_Moyo,#MenAreTrash https://t.co/DhOcwIfJT5
19,2022-11-09 07:48:21+00:00,box_blk,@ThamiMilis Yet irrespective of his Nationality the lil Trash Bag you leacked the video is still a man don't know why Black SA man in particular take it personally when the #Menaretrash slogan trends
20,2022-11-09 03:42:48+00:00,AmyJackson42069,@CeoPorschia My baby daddy pay me $4500/month and I aint work in years lol 💯💯#menaretrash
