,Date,User,Tweet
0,2022-06-29 13:28:25+00:00,pogojoe2011,"@stillgray Yes these statistics might be true for the races.. but all these accidents were caused by women.
#WomenAreBadDrivers"
1,2022-03-21 03:32:12+00:00,Cory_Woot16,@barstoolsports Transitioned to female.... DAY 1. #womenarebaddrivers
2,2020-04-22 20:42:50+00:00,mattbing77,@MaryBethDowling #womenarebaddrivers
3,2018-10-25 12:15:24+00:00,ErikaGroeneveld,"#DoctorsAreDickheads 
 I despair (/sarcasmon)
#womenarebaddrivers #menarerapists #artistsarefreeloaders #policeareuseless #insertnationalityarelazy

#blanketopinionsarestupid"
4,2018-06-29 10:28:25+00:00,DamnitReyes,@AndreaNicolee_ Because they know it’s you driving. #womenarebaddrivers
5,2017-08-22 15:12:59+00:00,rei_yang,#womenarebaddrivers #timeshavechanged travelmadedifferent #ntucincome #advert #sgblogger @ Income https://t.co/N5B5fBvFjf
6,2017-04-22 22:15:05+00:00,Simply_Najat,no 1 harmedربي لك الحمد just minor damage to vehicle. No more rides wiz her in future #NoteToSelf What a weekend story #womenAREbaddrivers 🙊
7,2017-03-30 16:13:51+00:00,_liv_mas_,@kyle_mccloskey and Mandy Hampton is introduced by yakking on her cell phone and running a red light in her convertible #womenarebaddrivers
8,2016-10-22 07:49:53+00:00,tryceankrom,@RedEyeFNC I don't think #WomenAreBadDrivers they're just not good at putting on make up behind the wheel lol #MakeMyComedyFunnyAgain
9,2016-05-22 16:17:50+00:00,TonysTweetin,"Friend from college:""Im dying""
Me:""Why?""
Friend:""I've never driven through Sioux Falls before.""

19 and she can't drive. #WomenAreBadDrivers"
10,2016-05-04 17:33:32+00:00,naveenfatima2,"And then they say
#WomenAreBadDrivers https://t.co/3wJY7hoi3P"
11,2016-01-27 22:38:11+00:00,rileymwhite,@Darla_Adele Suuuuuuuuuuure😂 #Womenarebaddrivers #jennasupportsstereotypes
12,2015-03-02 17:10:30+00:00,desiboho,"The guy must be shit scared #WomenAREBadDrivers RT@The_FotoVogue: Girl riding Activa, guy sitting behind chipak ke. Indeed world is changing"
