,Date,User,Tweet
0,2022-09-15 18:14:19+00:00,maddiekeroro,"I HATE WOMEN, I LOVE ANDREW TATE SO MUCH. PLEASE MARRY ME ANDREW #womenarestupid"
1,2022-05-15 11:11:36+00:00,AspergerVoyage,#WomenAreStupid they do not realize it is a #Democrats killing their #AbortionRight by not killing the #filibuster and passing the abortion rights law don't blame #SupremeCourt or the #Republicans #Democrats have this sitting their hand but protect the filibuster not women https://t.co/6JGZVyuUA3
2,2022-05-05 11:57:05+00:00,mrcommon_sense,@LuciaOC_ It would seem if you women worried more about abortion rights rather than living vicariously through someone else’s life .#womenarestupid
3,2022-05-05 11:46:30+00:00,mrcommon_sense,@JoyAnnReid your ok with 85 year white dictating what you do with your body and then do nothing more than complain.#womenarestupid
4,2022-05-05 11:42:32+00:00,mrcommon_sense,@JoyAnnReid Are women just stupid how do guy’s let these pasty face people run your lives.#womenarestupid
5,2022-02-09 02:39:26+00:00,abinantonysr,"@FeministQUEEN88 The real argument is ""why women think they are funny ""#womenarestupid"
6,2021-12-10 04:36:55+00:00,swagmoneysavage,#womenarestupid https://t.co/i3jsSVkWMs
7,2021-05-14 00:42:33+00:00,LaPuta_2,"So I thrown in Facebook jail today cuz somebody got butt hurt that I commented ""my God women are stupid"" under a video of the lady filling storage bins with gas. Are you serious?? #fuckfacebook #zuckerbergsux #womenarestupid"
8,2021-03-24 10:28:24+00:00,dupui,"A woman may be smart, but #womenarestupid https://t.co/XGBNsLJYs7"
9,2021-03-11 13:29:01+00:00,JehovaWetnesses,@wettyornot2021 hey don’t forget the the fake pregnancy #womenarestupid #especiallythisone
10,2021-01-06 20:34:32+00:00,elenannaroig,#deep #womenarestupid https://t.co/Uq9255KPP5
11,2021-01-04 23:35:07+00:00,j0hNxPaUL,@Cosmos88285303 @ViVirus_ @DIAMONDTSURU @papiii_karlo #Womenarestupid
12,2020-12-21 02:07:49+00:00,lisa_barrrz,Lady ref says the giants keep the ball #womenarestupid
13,2020-11-07 00:55:31+00:00,barry_obiden,"Sure I need unintelligent women on cp24 to count to 270 for me
Hashtag when did we let women count let alone vote?
#womenarestupid"
14,2020-10-23 05:03:56+00:00,AntonioReyesTx,"All ""Evil Leaders"" Are actually practitioners of 
""The Experiment Of Republic""
They Set Out The Rules &amp; The stupid followers do them.
Kittens Aid
Devil Dogs Doomsday
#GatasSalvajes
#WomenAreStupid
💓💔🍦🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#American
Ame Al Rican
#RicanPapi
🇺🇸🇺🇸🇺🇸🌎🇺🇲🇺🇲"
15,2020-09-24 10:21:21+00:00,sandrajg19,"I'm a woman 

An idiot stole the presidency from a WOMAN 

And women supported the man 

Let that sink in 

P.S. 

The man is on record for having raped two women and sexually harassing 26+ women 

#WomenareStupid 

#ETTD #womensupportingtrumparebraindead 

#Predatortrump"
16,2020-09-06 09:11:50+00:00,RandomUser680,@JeMenBatLeClito @eisxn #WomenAreStupid et tout les jours vous le prouvez
17,2020-08-30 16:38:22+00:00,LivingGang,"Women LOVE making fun of men about ""doing the bare minimum"" and also like to post things like this.

...which is the absolute bare minimum. Just say you hate men and move on.

#women #redpill #DoubleStandards #nolivesmatter #misandry #womenarestupid https://t.co/ZjQT3Jt7ey"
18,2020-08-14 14:20:10+00:00,SahQuelPlaise,@OUTrageantes @N_E_I_S_T @agathewithane @Arielpurclean #WomenAreStupid
19,2020-05-15 17:30:07+00:00,Th3Dop3Shaq,@tomsegura Word ......I put on a misogynistic front but i really adore and respect the lil shit bags #womenarestupid
20,2020-04-18 18:19:47+00:00,rubenlsf,@ProfesseurAss #womenarestupid
21,2020-04-18 09:27:14+00:00,rubenlsf,@ProfesseurAss #womenarestupid
22,2020-04-17 07:17:25+00:00,Lateralus_987,@MissCliKK #Womenarestupid
23,2020-04-12 15:27:28+00:00,YARien313,"@JeMenBatLeClito @eleapscl En meme temps tu le ficha , #womenarestupid"
24,2020-04-12 14:40:29+00:00,rubenlsf,@lvurvnt @lina_lbu #womenarestupid
25,2020-04-12 13:58:40+00:00,rubenlsf,"@NaYoNeK_ #womenaretrash
#womenarestupid"
26,2020-04-12 13:56:05+00:00,rubenlsf,@JsuiUniq #womenarestupid
27,2020-03-30 14:49:42+00:00,theDonspeaksup,"Nothing wrong with flaunting what you have. But feminists out here, expecting a ""Have a great day!"" comment? Based of her CAPTION??? If #menaretrash then #womenarestupid https://t.co/WH45XHHdwa"
28,2020-02-17 11:51:57+00:00,Sultrie1,"@HNouriatte Disney didn't create anything, the author lived in the 17th century, you don't need a master's degree in history to know this kind of thing. Walt Disney was born in 1901, when would you understand that the situation of women has changed since then? #WomenAreStupid ? https://t.co/wKmFK2pHME"
29,2020-02-16 10:29:51+00:00,CedytheWonder,"@hmsofff Depuis le temps que vous le dites, vous en avez pas marre de vous faire avoir?🤔 #womenarestupid"
30,2019-12-08 21:51:20+00:00,LesTheLesbo,@pattyrosborough Wonder how much of a backlash there would be if the tables were turned in the #womenarestupid ? Women opening a bag of cookies which aren’t cookies anyway... Oh hang on there a hashtag with that title surprise surprise !!
31,2019-08-10 02:09:08+00:00,Lateralus_987,"@starkssemble Ouaip très bien installé ces sales racistes sexistes et fascistes 😡 d’ailleurs on appel ça ""LGBT+"" ou ""féminisme"" 
tu te rends compte ? Sous couvert de ""c’est nous les gentils"" ce qu’on laisse passer ?
#Womenarestupid
#louzladebile"
32,2019-08-06 19:09:23+00:00,Lateralus_987,"@ticouple41 @LSFradioOff Le plus marrant la dedans c’est que toutes les dégénérées ont tellement déformé les mots qu’elles mêmes ne savent même plus ce qu’ils veulent dire.
Ceci n’est pas un (futur) viol, de part le simple fait que c’est un CHOIX (tu te rappel ? MES CHOIX GNIAGNIAGNIA)
#Womenarestupid"
33,2019-08-02 14:57:16+00:00,Lateralus_987,"@Zoa_MB @PepiteSexiste Tu as voulu être forte et indépendante ? Alors arrête de chialer parce que un truc est 60 centimes plus cher en rose qu’en bleu.
Ça serait sexiste si tu était obligée en tant que femme de prendre le rose, or ce n’est pas le cas, donc ferme là.
#Womenarestupid"
34,2019-08-01 20:08:07+00:00,Lateralus_987,"@EsdBeauvoir La Résistance se met en place 🙏 Merci les gars !
Ça veut partir en guerre contre 50% de la population et ça croit qu’il n’y aura aucune représailles ?
A mort cette idéologie nauséabonde sexiste et raciste, le petit manège ne va bientôt plus fonctionner 😉
#Womenarestupid"
35,2019-07-30 19:42:43+00:00,Lateralus_987,"@EcarlateFennec Il n’y aurait aucun problème si tu n’avais pas chercher à te la jouer en disant ""non oppressif loool 🤪""
Tu sais très bien que ça l’est. Actuellement ton lobby est le plus oppressif, agressif, raciste, sexiste, totalitaire etc etc.
Tu es tout ce que tu combats.
#Womenarestupid"
36,2019-07-29 03:31:18+00:00,Lateralus_987,"@DrOphelieVeron Donc tu préfère qu’il mette ses jambes comme toi, comme ça vos genoux se touche et donc ducoup il t’agresse ? 🤦‍♀️
Réfléchi 3 secondes ? 🤷‍♀️
#Womenarestupid"
37,2019-07-24 13:59:33+00:00,Lateralus_987,"@Marxist_Fem ""Par contre les gays arrêtez de vous genrer au féminin""
😂
Tu te rends compte que y’a rien de plus non inclusif et intolérant ?
Si je suis ton féminisme de base, avec vos gender de merde là, n’importe qui a le droit de se genrer n’importe comment.
Donc ferme là.
#Womenarestupid"
38,2019-07-24 13:40:35+00:00,Lateralus_987,@mialmalmq Oui il se passe que : #Womenarestupid
39,2019-07-23 21:16:29+00:00,Lateralus_987,"@AssoLallab Ce qui est surprenant aussi c’est que le ""féminisme"" défende un symbole de l’oppression et d’asservissement de la femme. Dans les pays musulman c’est de l’enlever qui est militant et elles risquent la MORT pour ça.
#Womenarestupid"
40,2019-07-23 20:55:02+00:00,Lateralus_987,"@emptyscore @PepiteSexiste Puis-je voir le texte de loi qui vous interdit l’achat d’objet mentionnant des termes tel que ""pour hommes"" et inversement pour les hommes ?
C’est bien ce que je pensais.
On s’en fou c’est du marketing et le plus simple pour différencier 2 produits reste celui là.
#Womenarestupid"
41,2019-07-20 19:46:14+00:00,Lateralus_987,"@JLeugeMaillet @lidlfrance @PepiteSexiste ""Tweet sur l’emploi mais pas que"" effectivement oui, ça tweet aussi de la merde
Hé oui seules les mamans peuvent toucher un pot de bébé c’est bien connu. 
Non mais, tu sais que ta vie n’est pas régie par les pubs ou les manuelles des objets que tu achète au moins?
#Womenarestupid"
42,2019-07-18 22:13:48+00:00,Lateralus_987,"@khbaalsaat Et si c’était pas le sexisme et la misogynie mais plutôt vos délires bien pensant qui pousse les petites filles à imiter leurs idoles ""décomplexée à donfffff hihi le sex partout on fait trop ce qu’on veut""
?
#Womenarestupid"
43,2019-07-17 13:14:03+00:00,Lateralus_987,"@chelxie Hé, tu sais les crédits ça existe hein. Un générique de film c’est pas fait pour faire jolie et ajouter 10 mins au film. Tu reproduis, c’est bien la prochaine fois tu crédite ce que tu a reproduit. C’est pas compliqué ça va ?
#Womenarestupid"
44,2019-07-16 23:28:49+00:00,Lateralus_987,"@uneslytherin Tu pourras chialer aussi fort que tu veux y’aura toujours des beurettes prêtent à aller se faire déboité face à une caméra pour quelques euros et toujours des gens pour taper le mot ""beurette"" sur un site porno. 
#Womenarestupid"
45,2019-07-16 18:53:54+00:00,Lateralus_987,"@CapKamm C’est dans ta tête tout ça enfaite tu sais ?
Tu sais que tout le monde s’en bat les couilles de tes cheveux au moins ?
Tu as créé ça toi même bravo !
#Womenarestupid"
46,2019-07-16 18:50:26+00:00,Lateralus_987,"@louzlapoetesse Chut 🤫
Ton patriarcat n’existe pas, comme ton dieu.
Donc quand tu dis ""patriarcat"" soit y’a une preuve avec, soit tu la fermes 🤷‍♀️

(Et au pire si tu arrive à m’amener la preuve... hé bien : PAS DE BITES DONC PAS D’AVIS DESSUS LOOOOOOOOL)

#Womenarestupid"
47,2019-07-15 19:01:43+00:00,Lateralus_987,"@lacrapsante N’êtes vous pourtant pas bien placé pour savoir que la sexualité ne reflète pas la personnalité ? 😉
#Womenarestupid"
48,2019-07-15 11:23:57+00:00,Lateralus_987,"@emilie_graff @PepiteSexiste Aller, vas-y, démontre maintenant. Démontre moi comment et pourquoi c’est sexiste, et seulement après tu pourras réviser tes classiques hein.
Il ne suffit pas de prendre une photo d’un truc qui parle vaguement de mecs/meufs pour que ça soit sexiste.
#Womenarestupid"
49,2019-07-13 18:47:15+00:00,Lateralus_987,"@La_Giclee @cbouclesdor Dommage que ""les hommes"" ne sont pas un ""groupe social"", ne sont pas des ""dominants"", les femmes ne sont pas ""dominées"" non plus. Pas en France tout du moins.
Out de base parce que ca parle de ""patriarcat"" qui est une chimère au même rang que dieu.
🤷‍♀️ #Womenarestupid"
50,2019-07-13 14:43:25+00:00,Lateralus_987,"@ChijireTakami Dixit la petite bobo blanche 🤣
#Womenarestupid"
51,2019-07-12 13:53:03+00:00,Lateralus_987,"@Pumpkage @MannyKoshka Hahaha ""logique"" 😂 qu’est-ce qu’il faut pas entendre !
Vous êtes à l’extrême opposé de la logique, et MannyKoshka n’utilise le féminisme que pour vous vendre 3 photos de merde pour 30 balles 😂 femibiz 🤑
Aller tiens Manny c’est pour toi :
#Womenarestupid"
