,Date,User,Tweet
0,2022-11-02 10:58:48+00:00,AairahHasan,#Feminazi are on road to destroy the families. But none of the so-called #Feminists will say anything against this menace. #HeToo #MenToo #GenderEquality #EqualityOfSexes https://t.co/AFBkxl5UeA
1,2022-09-01 17:17:18+00:00,zamineh,"How can civilization and life be sustained without #equalityofsexes, #onenessofallhumanity,  #nenessofGod, and #onenessofallreligions? https://t.co/Ml1ZIViNHV"
2,2021-11-25 08:51:25+00:00,WBHFoundation,"When our world is more GENDER EQUAL, gender based violence would be brought to an end. 🧡#orangetheworld 
#wadibenhirkifoundation #wbhfdn 
#iambecauseyouare #youtoocan
#empowher #empoweredwomen #uplifteachother #sheroes #equalityofsexes #charitiesworthsupporting https://t.co/ab17mNDln9"
3,2021-10-11 03:37:13+00:00,hebbarprajna_,"#InternationalGirlChildday
#GirlChildday 

#girls #independentwoman #independent #wedding #marriage #feminism #genderequality #equality #equalityofsexes #patriarchy #girl #reels #instareels #instagram #thoughts #mondayquotes https://t.co/htjkAnb7YQ https://t.co/nXNg8c1uWy"
4,2020-11-29 11:41:00+00:00,WBHFoundation,"When our world is more GENDER EQUAL,  gender based violence would be brought to an end. 🧡#orangetheworld
You can still follow our #16daysofactivism challenge here 👇
#16DaysofActivism2020
#iambecauseyouare #youtoocan
 #uplifteachother  #equalityofsexes https://t.co/YYcV7rsph1 https://t.co/ZyYXxxAbKw"
5,2020-10-20 14:10:04+00:00,BargainShopUS,"Equality.
#equality #equalityforall #equalityforeveryone #equalityforwomen #equalitynow #Equality4All #EqualityForAllSpecies #equalityneedsyou #equalitymarriage #EqualityBeforeTheLaw #equalityforward #equalityadvocate #equalityofsexes https://t.co/V84GvFH8JV"
6,2020-07-19 20:11:55+00:00,feminism4dummi1,#feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #reclaimfeminism #EqualityofSexes #EndMisogyny #He4She
7,2020-07-19 20:02:08+00:00,feminism4dummi1,#feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #reclaimfeminism #EqualityofSexes #EndMisogyny
8,2020-07-19 20:00:20+00:00,feminism4dummi1,"While the society thinks it is empowering women by telling them to act more “masculine”, when it comes to assuming roles which involve responsibility; it reeks of misogyny.
 #Feminism #endpatriarchy #Feminism4Dummies #Equality #reclaimfeminism #EqualityofSexes #EndMisogyny"
9,2020-07-19 19:59:28+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #reclaimfeminism #EqualityofSexes #EndMisogyny
10,2020-07-19 19:57:28+00:00,feminism4dummi1,@ChimamandaReal #Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
11,2020-07-19 19:56:58+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
12,2020-07-19 19:56:36+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
13,2020-07-19 19:56:18+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
14,2020-07-19 19:56:01+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
15,2020-07-19 19:55:46+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
16,2020-07-19 19:55:38+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
17,2020-07-19 19:55:27+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
18,2020-07-19 19:55:09+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
19,2020-07-19 19:54:48+00:00,feminism4dummi1,#Feminism #feminist #endpatriarchy #Feminism4Dummies #Equality #Resist #GirlLove #womenslivesmatter #WomenSupportingWomen #EqualityofSexes #EndMisogyny
20,2020-06-30 11:30:50+00:00,Elfyau,#equality #equalityforall #equalityforeveryone #equalityforwomen #equalitynow #Equality4All #equalityvodka #EqualityForAllSpecies #equalityneedsyou #equalitymarriage #EqualityBeforeTheLaw #equalityforward #equalityadvocate #equalityofsexes #equalityken #equalityline https://t.co/GjrpfOTtJD
21,2020-05-28 17:02:32+00:00,ChristieLegalMN,"My relationship tip for today is to share the household and kid responsibilities fairly equally.

#divorce #custody #familylaw #jointdivorce #amicabledivorce #affordabledivorce #affordablecustody #affordablefamilylaw #overwhelmed #unfair #equalityofsexes…https://t.co/mG3IpFTfmM"
22,2020-01-22 20:40:52+00:00,yourfoodfantasy,"@VirginTrains does the image mean only a female is meant to be changing for baby? What if someone is single dad?
#virgintrain #singledad #equalityofsexes @BBCNews @SkyNews @MetroUK @richardbranson https://t.co/Tl5d2Wh7ob"
23,2019-12-04 01:34:20+00:00,Cisplainer,#truefacts #cisplaner #cisplanation #1 #murders #men #women #femicide #feminism #patriarchy #triggerwarning #equalityofsexes #factsnotfeelings @ City of Edinburgh https://t.co/xaS3HD6jgT
24,2019-10-11 12:56:26+00:00,UchennaUmeh9,"Happy International Girl-Child Day!

On this special day, let us all make a concerted effort to end all injustice towards the girl-child; sexual abuse, educational inequality, sexual exploitation, child-abuse, and justices of all sorts.
#Feminist #equalityofsexes 
#askdoctorlulu"
25,2019-09-13 05:43:34+00:00,Shivani01704200,Women's rights are #HumanRights ! Let's work TOGETHER towards equity rather than let things like gender or race divide us #genderequity #feminism  #equalityofsexes.....
26,2019-07-30 13:47:16+00:00,CuteGirlUglySe1,"Equalize-HER https://t.co/gzflLxN3rY
#equality #equalityproduction #EqualityWalk #equalityforthenips #EqualityForAllSpecies #equalitymarriage #equalityinsport #equalityofsexes https://t.co/VLJ8DKAkSf"
27,2019-05-23 19:25:04+00:00,MarieWattsBooks,#equality #equalityrights  #equalityaccount #equalityhasmanyforms #EqualityBeforeTheLaw #equalityadvocate #equalityispossible #equalityfollow #equalityforeveryone #equalityforall  #equalityofgenders #equalityforwomen #equalitymovement #equalityofsexes #equalitymatters https://t.co/Ag9JCTGimc
28,2019-03-08 05:19:09+00:00,KevOwee1,"@citizentvkenya You can say this again... Just a little bit louder. 
Blessed be the womb that bore thee. Happy women's day phenomenal woman!!!
#EqualityofSexes"
