,Date,User,Tweet
0,2022-11-10 12:02:00+00:00,50inTech,"Very proud to partner with @orange for the Salary Negotiation bootcamp.
Don’t miss: Asking by owning session led @BJavelot Executive Director at Orange Wholesale France.
#genderpaygap #salarynegotiation #salarytransparency #diversitynow #womenintech 

https://t.co/nDyl85624f https://t.co/vDzxJVj9np"
1,2022-11-10 10:58:12+00:00,do_quest,"Will pay transparency bring down gender pay gap? 

#paytransparency #genderpaygap #genderwagegap #paygap #jobseekers #ITServices #ITJobs #softwaredevelopment #Todayspoll #polloftheday #TDQ"
2,2022-11-10 10:36:04+00:00,ADAPTwelfare,La componente del salario che determina maggiori differenziazioni di genere è la parte variabile stante la specializzazione femminile nella funzione di cura e il #genderpaygap 3/7
3,2022-11-10 10:20:18+00:00,storyofwoman_,"Attended a great webinar by @untanglemoney yesterday - they are doing amazing work helping women understand their financial journey, and closing the $£€ gap! 👏

https://t.co/iiDbz2JXKk

#genderpaygap @kristine_beese https://t.co/jcVBKZGjp1"
4,2022-11-10 10:17:58+00:00,do_quest,"By introducing #paytransparency, an organization can create a sense of trust while reducing gender &amp; racial pay gaps. Here’s a brief into understanding #paytransparency better.

#paytransparency #paygap #genderpaygap #genderwagegap #ITJobs #Softwaredevelopment #racialpaygap #TDQ https://t.co/J5BOmKPUoi"
5,2022-11-10 09:59:01+00:00,zij_kant,"Balletjes kneden, kan u toch ook?
Mannen, zet jullie talenten all round in, en dicht de loonkloof!
👉https://t.co/xICBQfvUd9
@mortierbrigade @czar @PES_Women #unepd #equalpay #unequalpayday #loonkloof #genderpaygap https://t.co/hGUQP5UksU"
6,2022-11-10 09:26:46+00:00,stescarpetta,The lack of progress in reducing if not eliminating #GenderPayGap is disheartening. This🆕study is key because it sheds light on the (key) role of firms' pay practices: about 3/4 of the gap is because the same firm pays men more than women despite having similar skills. https://t.co/mD2nRenmrL
7,2022-11-10 08:49:04+00:00,OECD_Social,"✨Just released! ✨
𝙎𝙖𝙢𝙚 𝙨𝙠𝙞𝙡𝙡𝙨, 𝙙𝙞𝙛𝙛𝙚𝙧𝙚𝙣𝙩 𝙥𝙖𝙮: tackling gender inequalities at the firm level.

Brand 🆕 analysis from the OECD | #GenderPayGap #GenderInequality #EqualPayDay

👉 https://t.co/PPxu9fy7RB https://t.co/PGheKBH94x"
8,2022-11-10 06:19:53+00:00,DingaBelle,"@TheActuaryMag 👋 Hardly news - yet more confirmation all #Women seem 2 suffer #discrimination re #GenderPayGap, therefore #GenderPensionPayGap - so #Sexism = #GenderPensionGap‼️

On behalf of #50sBornWomen suffering up2 6+ YEARS cruel #misogynistic #StatePensionTHEFT ask YOUR MP 2 ✍️ #EDM430‼️"
9,2022-11-10 04:59:45+00:00,do_quest,"#Paytransparency can potentially boost performance, helps retain top performer while also building trust. Here’s how adapting to #paytransparency will benefit companies? #TDQ explores the subject more: https://t.co/XpyY9NsqFQ
#paytransparency #genderpaygap #employeeretention #TDQ"
10,2022-11-09 22:17:00+00:00,payscale,"No matter how you measure it, a #genderpaygap exist, and it has a huge impact on lifetime earnings.

#ClosetheGap #EqualPay #EqualOpportunity #PayEquity (@GREGIACURCI for @cnbc) https://t.co/bO5Gwq1JPE"
11,2022-11-09 22:08:49+00:00,Alison34586950,#genderpaygap https://t.co/xnfyenLvZO
